MAKE,MODEL,HORSEPOWER/CC/KW,CRSP,,,,
MASSEY FERGUSON,MF-385-2WD,46,"2,041,962",,,,
MASSEY FERGUSON,MF-385-4WD,46,"2,877,310",,,,
MASSEY FERGUSON,MF-415-2WD,46,"3,423,896",,,,
MASSEY FERGUSON,MF-425-2WD BASE SPEC,65,"4,434,564",,,,
MASSEY FERGUSON,MF-435-2WD,65,"4,640,823",,,,
MASSEY FERGUSON,MF-435N-4WD NG,72,"5,099,749",,,,
MASSEY FERGUSON,MF-440-2WD,82,"4,434,564",,,,
MASSEY FERGUSON,MF-440-4WD,82,"5,156,470",,,,
MASSEY FERGUSON,MF-455-4WD,100,"6,002,131",,,,
MASSEY FERGUSON,MF-470-4WD,120,"7,095,303",,,,
MASSEY FERGUSON,MF-480-4WD,130,"7,631,576",,,,
MASSEY FERGUSON,MF-680-4WD(PLATFORM),165,"9,591,034",,,,
MASSEY FERGUSON,MF-680-4WD(CAB),165,"10,828,587",,,,
MASSEY FERGUSON,MF-5360-4WD,105,"6,589,969",,,,
MASSEY FERGUSON,MF-5365-4WD,120,"7,445,943",,,,
MASSEY FERGUSON,MF-7170-4WD(PLATFORM),170,"9,900,422",,,,
MASSEY FERGUSON,MF-7170-4WD(CAB),170,"11,344,234",,,,
VOLVO CE EQUIPMENTS,BACKHOE LOADER(BL61B),,"7,938,411",,,,
VOLVO CE EQUIPMENTS,BACKHOE LOADER(BL71),,"8,915,446",,,,
VOLVO CE EQUIPMENTS,WHEEL LOADER(L120F),,"21,189,451",,,,
VOLVO CE EQUIPMENTS,EXCAVATOR (EC210BLC),,"14,533,399",,,,
VOLVO CE EQUIPMENTS,EXCAVATOR (EC290BLC),,"17,647,698",,,,
LIEBHERR,WHEEL LOADER L538 2.5M3,143,"13,573,714",,,,
LIEBHERR,WHEEL LOADER L544 3.0M3,165,"16,469,290",,,,
LIEBHERR,WHEEL LOADER L550 3.20M3,203,"18,469,290",,,,
LIEBHERR,EXCAVATOR R934 1.95M3,203,"20,526,967",,,,
LIEBHERR,EXCAVATOR R944 2.50M3,285,"33,999,862",,,,
LIEBHERR,DOZER PR732(used),,"7,800,000",,,,
LIEBHERR,DOZER PR742(used),,"14,200,000",,,,
LIEBHERR,DOZER PR734 5.56M3,204,"27,455,855",,,,
LIEBHERR,DOZER PR744 7.2M3,252,"33,999,862",,,,
LIEBHERR,HAMMER/BREAKER  GT30703,,"1,410,852",,,,
LIEBHERR,HAMMER/BREAKER  GT06058,,"2,169,785",,,,
LIEBHERR,HAMMER/BREAKER  GT800704,,"2,672,690",,,,
LIEBHERR,HAMMER/BREAKER  GT160030,,"2,672,690",,,,
CASE/NEW HOLLAND,NH TT 55 2WD,57,"2,000,000",,,,
CASE/NEW HOLLAND,NH TT 65 2WD,75,"2,900,000",,,,
CASE/NEW HOLLAND,NH TT 75 4WD,75,"3,200,000",,,,
CASE/NEW HOLLAND,NH TD 80 2WD,80,"3,100,000",,,,
CASE/NEW HOLLAND,NH TD 80 4WD,80,"3,700,000",,,,
CASE/NEW HOLLAND,NH TS 6000 2WD,90,"4,300,000",,,,
CASE/NEW HOLLAND,NH TS 6000 4WD,90,"5,000,000",,,,
CASE/NEW HOLLAND,NH TS 6040 4WD,130,"6,600,000",,,,
CASE/NEW HOLLAND,NH 3030 2WD,42,"1,500,000",,,,
CASE/NEW HOLLAND,NH 3600 2WD,52,"1,700,000",,,,
CASE/NEW HOLLAND,CASE JX 60E 4WD,60,"3,100,000",,,,
CASE/NEW HOLLAND,CASE JX 80E 4WD,80,"3,600,000",,,,
CASE/NEW HOLLAND,CASE JX 95A 4WD,95,"4,000,000",,,,
CASE/NEW HOLLAND,NH TK 95 A4 4WD,80,"3,500,000",,,,
CASE/NEW HOLLAND,COMBINE HARVESTER TC 5040 4WD,170,"14,000,000",,,,
CASE/NEW HOLLAND,TMO WINCH GI 33T 4WD,,"2,500,000",,,,
BOBCAT,S130,46,"2,382,540",,,,
BOBCAT,S135,46,"2,845,247",,,,
BOBCAT,S220,73,"3,310,463",,,,
BOBCAT,UTILITY VEHICLE 2200D,20,"1,317,053",,,,
BOBCAT,GOLF CAR(IR electric),,"559,302",,,,
CAT,CAT EXCAVATOR 320L,,"21,436,800",,,,
CAT,CAT 320DL,,"13,437,243",,,,
CAT,BACKHOE LOADER 428E,,"7,603,000",,,,
JCB,BACKHOE LOADER 3CX,,"8,352,000",,,,
JCB,BACKHOE LOADER 3DX,,"6,380,000",,,,
DYNAPAC,SINGLE DRUM ROLLER CA551D,,"8,200,000",,,,
JOHN DEERE,5038D - OPEN OPERATOR STATION + CANOPY,38,"2,821,444",,,,
JOHN DEERE,5303 - OPEN OPERATOR STATION + CANOPY,55,"2,942,081",,,,
JOHN DEERE,5403 - OPEN OPERATOR STATION + CANOPY 2WD,65,"3,444,387",,,,
JOHN DEERE,5403 - OPEN OPERATOR STATION + CANOPY 4WD,65,"3,775,098",,,,
JOHN DEERE,5503 - OPEN OPERATOR STATION + CANOPY 2WD,75,"3,938,374",,,,
JOHN DEERE,5503 - OPEN OPERATOR STATION + CANOPY 4WD,75,"4,157,808",,,,
JOHN DEERE,5725 - OPEN OPERATOR STATION + CANOPY 2WD,90,"5,772,885",,,,
JOHN DEERE,5725 - OPEN OPERATOR STATION + CANOPY 4WD,90,"6,386,468",,,,
JOHN DEERE,5725 - OPEN OPERATOR STATION + CANOPY - SUGAR,90,"5,646,008",,,,
JOHN DEERE,5725 WITH CAB 2WD,90,"6,942,853",,,,
JOHN DEERE,5725 WITH CAB 4WD,90,"7,550,197",,,,
JOHN DEERE,5725 HIGH CLEARANCE/ROW CROP + CANOPY 4WD,90,"7,401,481",,,,
JOHN DEERE,5725 HIGH CLEARANCE/ROW CROP + CAB 4WD,90,"8,636,967",,,,
JOHN DEERE,"5083N OPEN OPERATOR STATION + ROPS - NARROW 
GAUGE 2WD",83,"5,973,599",,,,
JOHN DEERE,"5083N OPEN OPERATOR STATION + ROPS - NARROW 
GAUGE 4WD",83,"6,937,653",,,,
JOHN DEERE,5083N WITH CAB - NARROW GAUGE 2WD,83,"7,247,565",,,,
JOHN DEERE,5083N WITH CAB - NARROW GAUGE 4WD,83,"8,209,539",,,,
JOHN DEERE,6100D OPEN OPERATOR STATION + CANOPY 2WD,100,"6,963,653",,,,
JOHN DEERE,6100D OPEN OPERATOR STATION + CANOPY 4WD,100,"7,836,189",,,,
JOHN DEERE,6100D OPEN OPERATOR STATION + CANOPY  - SUGAR 2WD,100,"6,473,826",,,,
JOHN DEERE,6100D WITH CAB 4WD,100,"8,587,049",,,,
JOHN DEERE,6110D WITH CAB 4WD,110,"9,129,914",,,,
JOHN DEERE,6110E OPEN OPERATOR STATION + CANOPY - SUGAR 2WD,110,"7,477,399",,,,
JOHN DEERE,6110J OPEN OPERATOR STATION + CANOPY 4WD,110,"10,490,198",,,,
JOHN DEERE,6110J WITH CAB 4WD,110,"11,322,175",,,,
JOHN DEERE,6125D OPEN OPERATOR STATION + CANOPY 4WD,125,"8,861,601",,,,
JOHN DEERE,6125D WITH CAB 4WD,125,"9,799,656",,,,
JOHN DEERE,6125E OPEN OPERATOR STATION + CANOPY 4WD,125,"10,574,435",,,,
JOHN DEERE,6125J OPEN OPERATOR STATION + CANOPY 4WD,125,"11,114,181",,,,
JOHN DEERE,6125J WITH CAB 4WD,125,"12,147,913",,,,
JOHN DEERE,6130J OPEN OPERATOR STATION + CANOPY 4WD,130,"12,112,554",,,,
JOHN DEERE,6130J WITH CAB 4WD,130,"13,084,928",,,,
JOHN DEERE,6145J OPEN OPERATOR STATION + CANOPY 4WD,145,"12,504,623",,,,
JOHN DEERE,6145J WITH CAB 4WD,145,"13,559,155",,,,
JOHN DEERE,6165J OPEN OPERATOR STATION + CANOPY 4WD,165,"13,209,724",,,,
JOHN DEERE,6165J WITH CAB SINGLE REAR TYRES 4WD,165,"14,163,379",,,,
JOHN DEERE,6165J WITH CAB DOUBLE REAR TYRES 4WD,165,"14,604,327",,,,
JOHN DEERE,6180J OPEN OPERATOR STATION + CANOPY 4WD,180,"13,658,992",,,,
JOHN DEERE,6180J WITH CAB SINGLE REAR TYRES 4WD,180,"14,614,727",,,,
JOHN DEERE,7210J WITH CAB SINGLE REAR TYRES 4WD,210,"17,425,771",,,,
JOHN DEERE,7210J WITH CAB DOUBLE REAR TYRES 4WD,210,"18,084,073",,,,
JOHN DEERE,7225J WITH CAB SINGLE REAR TYRES 4WD,225,"18,111,112",,,,
JOHN DEERE,6180J WITH CAB DOUBLE REAR TYRES 4WD,225,"18,084,073",,,,
JOHN DEERE,8230R WITH CAB 4WD,230,"22,841,945",,,,
JOHN DEERE,8260R WITH CAB 4WD,260,"25,477,234",,,,
JOHN DEERE,8335R WITH CAB 4WD,335,"34,360,675",,,,
JOHN DEERE,CANE LOADER MODEL 1850 (exCAMECO) 4WD,105,"16,640,592",,,,
JOHN DEERE,CANE LOADER MODEL 2254 (exCAMECO) 4WD,205,"29,286,651",,,,
JOHN DEERE,3520W CANE HARVESTER 4WD,337,"41,750,716",,,,
JOHN DEERE,S550 COMBINE HARVESTER 4WD,271,"45,368,779",,,,